
的,de,neutral,"possessive, adjectival suffix"
一,yi,first,"one; a, an; alone"
是,shi,fourth,"indeed, yes, right; to be; demonstrative pronoun, this, that"
不,bu,fourth,"no, not; un-; negative prefix"
了,le,neutral,to finish; particle of completed action
在,zai,fourth,"be at, in, on; consist in, rest"
人,ren,second,man; people; mankind; someone else
有,you,third,"have, own, possess; exist"
我,wo,third,"our, us, i, me, my, we"
他,ta,first,"other, another; he, she, it"
这,zhe,fourth,"this, the, here"
个,ge,fourth,"numerary adjunct, piece; single"
们,men,neutral,adjunct pronoun indicate plural
中,zhong,first,"central; center, middle; in the midst of; hit (target); attain"
来,lai,second,"come, coming; return, returning"
上,shang,fourth,"top; superior, highest; go up, send up"
大,da,fourth,"big, great, vast, large, high"
为,wei,fourth,"do, handle, govern, act; be"
和,he,second,"harmony, peace; peaceful, calm"
国,guo,second,"nation, country, nation-state"
地,de,neutral,"earth; soil, ground; region"
到,dao,fourth,"go to, arrive, been to"
以,yi,third,"by means of; thereby, therefore; consider as; in order to"
说,shuo,first,"speak, say, talk; scold, upbraid"
时,shi,second,"time, season; era, age, period"
要,yao,fourth,"necessary, essential; necessity"
就,jiu,fourth,"just, simply; to come, go to; to approach, near"
出,chu,first,"go out, send out; stand; produce"
会,hui,fourth,"assemble, meet together; meeting"
可,ke,third,"may, can, -able; possibly"
也,ye,third,also; classical final particle of strong affirmation or identity
你,ni,third,"you, second person pronoun"
对,dui,fourth,"correct, right; facing, opposed"
生,sheng,first,"life, living, lifetime; birth"
能,neng,second,"to be able; can, permitted to; ability"
而,er,second,and; and then; and yet; but
子,zi,neutral,"offspring, child; fruit, seed of; 1st terrestrial branch"
那,na,fourth,"that, that one, those"
得,de,second,"obtain, get, gain, acquire"
于,yu,second,"in, on, at; go to; surname"
着,zhe,neutral,"make move, take action"
下,xia,fourth,"under, underneath, below; down; inferior; bring down"
自,zi,fourth,"self, private, personal; from"
